time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.726646259971647390e-02,0.000000000000000000e+00,1.705524536512378120e+00,0.000000000000000000e+00
5.000000000000000104e-03,2.379456364383266339e-05,9.488468249001858965e-03,8.724042841920588709e-02,-1.035560990219444415e-02,1.677994127758712928e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.459232346914534081e-05,1.880152159957934610e-02,8.716348042020195808e-02,-2.036685450558757549e-02,1.650580220906177953e+00,0.000000000000000000e+00
1.499999999999999944e-02,2.115198556798136181e-04,2.794062105854824146e-02,8.703732066149875990e-02,-3.004161338731784620e-02,1.623287397080520611e+00,0.000000000000000000e+00
2.000000000000000042e-02,3.737110522674405252e-04,3.690723190008441540e-02,8.686361221343534555e-02,-3.938760296891405388e-02,1.596120108570777019e+00,0.000000000000000000e+00
2.500000000000000139e-02,5.803071418393286520e-04,4.570282346266026779e-02,8.664397996447936734e-02,-4.841238018289568956e-02,1.569082680331733259e+00,0.000000000000000000e+00
2.999999999999999889e-02,8.304567094368072930e-04,5.432886894799245775e-02,8.638001140964812752e-02,-5.712334607065807507e-02,1.542179311395963204e+00,0.000000000000000000e+00
3.500000000000000333e-02,1.123315715350311703e-03,6.278684522057742523e-02,8.607325742111855693e-02,-6.552774930853186297e-02,1.515414076212307837e+00,0.000000000000000000e+00
4.000000000000000083e-02,1.458047512931081799e-03,7.107823260662357590e-02,8.572523300139170410e-02,-7.363268965954651579e-02,1.488790925925812081e+00,0.000000000000000000e+00
4.499999999999999833e-02,1.833822865393927018e-03,7.920451469139758172e-02,8.533741801938828087e-02,-8.144512134900158684e-02,1.462313689612421808e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.249819961601063224e-03,8.716717811418882300e-02,8.491125792985976251e-02,-8.897185636246372764e-02,1.435986075480172097e+00,0.000000000000000000e+00
5.500000000000000028e-02,2.705224430813474301e-03,9.496771236026231577e-02,8.444816447650546620e-02,-9.621956766526627847e-02,1.409811672047195152e+00,0.000000000000000000e+00
5.999999999999999778e-02,3.199229356393476845e-03,1.026076095493190787e-01,8.394951637918950105e-02,-1.031947923429968050e-01,1.383793949305555548e+00,0.000000000000000000e+00
6.500000000000000222e-02,3.731035288440102699e-03,1.100883642201139073e-01,8.341666000565323147e-02,-1.099039346628207653e-01,1.357936259878762097e+00,0.000000000000000000e+00
7.000000000000000666e-02,4.299850255337455199e-03,1.174114731109970333e-01,8.285091002811871552e-02,-1.163532690558103655e-01,1.332241840179714032e+00,0.000000000000000000e+00
7.499999999999999722e-02,4.904889774195290292e-03,1.245784349362485388e-01,8.225355006517710843e-02,-1.225489430207299391e-01,1.306713811574875539e+00,0.000000000000000000e+00
8.000000000000000167e-02,5.545376860160646133e-03,1.315907501581639882e-01,8.162583330935312131e-02,-1.284969799499773857e-01,1.281355181559579393e+00,0.000000000000000000e+00
8.500000000000000611e-02,6.220542034579344508e-03,1.384499207549279021e-01,8.096898314073243397e-02,-1.342032818785968418e-01,1.256168844948565066e+00,0.000000000000000000e+00
8.999999999999999667e-02,6.929623331986529619e-03,1.451574499843797939e-01,8.028419372703418655e-02,-1.396736321574654771e-01,1.231157585085130846e+00,0.000000000000000000e+00
9.500000000000000111e-02,7.671866305906101073e-03,1.517148421438353767e-01,7.957263061050444397e-02,-1.449136980519178663e-01,1.206324075071619983e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.446524033439822485e-03,1.581236023261756718e-01,7.883543128200011518e-02,-1.499290332672094384e-01,1.181670879023385412e+00,0.000000000000000000e+00
1.049999999999999961e-01,9.252857118628065453e-03,1.643852361724582600e-01,7.807370574262521845e-02,-1.547250804023354853e-01,1.157200453347831282e+00,0.000000000000000000e+00
1.100000000000000006e-01,1.009013369456551561e-02,1.705012496213404172e-01,7.728853705327391743e-02,-1.593071733338193297e-01,1.132915148049668641e+00,0.000000000000000000e+00
1.150000000000000050e-01,1.095762942425668185e-02,1.764731486556319062e-01,7.648098187242614865e-02,-1.636805395311612121e-01,1.108817208063095583e+00,0.000000000000000000e+00
1.199999999999999956e-01,1.185462750019769529e-02,1.823024390463183209e-01,7.565207098253318163e-02,-1.678503023057029697e-01,1.084908774611230031e+00,0.000000000000000000e+00
1.250000000000000000e-01,1.278041864267264772e-02,1.879906260944139151e-01,7.480280980532159896e-02,-1.718214829947111999e-01,1.061191886592796951e+00,0.000000000000000000e+00
1.300000000000000044e-01,1.373430109675454099e-02,1.935392143710153723e-01,7.393417890633496858e-02,-1.755990030825181070e-01,1.037668481995767555e+00,0.000000000000000000e+00
1.350000000000000089e-01,1.471558062800280148e-02,1.989497074559377632e-01,7.304713448902333539e-02,-1.791876862605822907e-01,1.014340399337400722e+00,0.000000000000000000e+00
1.400000000000000133e-01,1.572357051685123117e-02,2.042236076753187468e-01,7.214260887868112482e-02,-1.825922604283464201e-01,9.912093791298901557e-01,0.000000000000000000e+00
1.449999999999999900e-01,1.675759155168220910e-02,2.093624158385797296e-01,7.122151099652491990e-02,-1.858173596367720670e-01,9.682770653706493924e-01,0.000000000000000000e+00
1.499999999999999944e-01,1.781697202058490220e-02,2.143676309751314513e-01,7.028472682419291406e-02,-1.888675259764292791e-01,9.455450070560763587e-01,0.000000000000000000e+00
1.549999999999999989e-01,1.890104770179716273e-02,2.192407500712085788e-01,6.933311985893865492e-02,-1.917472114120065685e-01,9.230146597175072909e-01,0.000000000000000000e+00
