time_s,x_m,v_m_s,theta_rad,omega_rad_s,controller_force_N,disturbance_N
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.490658503988659095e-02,0.000000000000000000e+00,6.822098146049513367e-01,0.000000000000000000e+00
5.000000000000000104e-03,9.527889848003469756e-06,3.799284447781232660e-03,3.489609953567836265e-02,-4.170643969430534899e-03,6.710929139672848764e-01,0.000000000000000000e+00
1.000000000000000021e-02,3.787463120012519779e-05,7.527641201323462955e-03,3.486511146616549234e-02,-8.201563096972093805e-03,6.600264992945645837e-01,0.000000000000000000e+00
1.499999999999999944e-02,8.468709712710855873e-05,1.118567536710234241e-02,3.481431145333058891e-02,-1.209594788682774071e-02,6.490124719247858387e-01,0.000000000000000000e+00
2.000000000000000042e-02,1.496151933915036269e-04,1.477399487862915937e-02,3.474437432148540922e-02,-1.585692709111985108e-02,6.380526658402565499e-01,0.000000000000000000e+00
2.500000000000000139e-02,2.323118720364582539e-04,1.829321027881248424e-02,3.465595940322705598e-02,-1.948756882847191285e-02,6.271488490952361605e-01,0.000000000000000000e+00
2.999999999999999889e-02,3.324331438998855311e-04,2.174393450771212530e-02,3.454971083984777203e-02,-2.299088168399463991e-02,6.163027252126901390e-01,0.000000000000000000e+00
3.500000000000000333e-02,4.496380900804601067e-04,2.512678269548479504e-02,3.442625787629126355e-02,-2.636981579067577269e-02,6.055159345517336922e-01,0.000000000000000000e+00
4.000000000000000083e-02,5.835888723809376814e-04,2.844237196033854234e-02,3.428621515074852660e-02,-2.962726389221360251e-02,5.947900556471967803e-01,0.000000000000000000e+00
4.499999999999999833e-02,7.339507427534172884e-04,3.169132121132893498e-02,3.413018297898572778e-02,-3.276606238737067578e-02,5.841266065226264903e-01,0.000000000000000000e+00
5.000000000000000278e-02,9.003920517703688838e-04,3.487425095584459345e-02,3.395874763349630843e-02,-3.578899235595631861e-02,5.735270459779223673e-01,0.000000000000000000e+00
5.500000000000000028e-02,1.082584256144518507e-03,3.799178311164267546e-02,3.377248161756878780e-02,-3.869878056657536508e-02,5.629927748526991627e-01,0.000000000000000000e+00
5.999999999999999778e-02,1.280201925320018433e-03,4.104454082330680209e-02,3.357194393436113006e-02,-4.149810046630571930e-02,5.525251372663761984e-01,0.000000000000000000e+00
6.500000000000000222e-02,1.492922747156716964e-03,4.403314828301058831e-02,3.335768035107147117e-02,-4.418957315248946138e-02,5.421254218359009558e-01,0.000000000000000000e+00
7.000000000000000666e-02,1.720427532728785198e-03,4.695823055547955482e-02,3.313022365829419724e-02,-4.677576832684161856e-02,5.317948628719382231e-01,0.000000000000000000e+00
7.499999999999999722e-02,1.962400220258441255e-03,4.982041340705274657e-02,3.289009392464925519e-02,-4.925920523209739721e-02,5.215346415542803094e-01,0.000000000000000000e+00
8.000000000000000167e-02,2.218527878205043061e-03,5.262032313875321388e-02,3.263779874677134873e-02,-5.164235357143298621e-02,5.113458870871656625e-01,0.000000000000000000e+00
8.500000000000000611e-02,2.488500707529375192e-03,5.535858642328328472e-02,3.237383349474463184e-02,-5.392763441090731025e-02,5.012296778351361670e-01,0.000000000000000000e+00
8.999999999999999667e-02,2.772012043152566503e-03,5.803583014586687766e-02,3.209868155306706827e-02,-5.611742106518224915e-02,4.911870424400009982e-01,0.000000000000000000e+00
9.500000000000000111e-02,3.068758354628680143e-03,6.065268124886640660e-02,3.181281455722744650e-02,-5.821403996678728432e-02,4.812189609194312823e-01,0.000000000000000000e+00
1.000000000000000056e-01,3.378439246049684975e-03,6.320976658010675486e-02,3.151669262597666527e-02,-6.021977151920131222e-02,4.713263657476587376e-01,0.000000000000000000e+00
1.049999999999999961e-01,3.700757455201182135e-03,6.570771274484313307e-02,3.121076458937346865e-02,-6.213685093402974979e-02,4.615101429187111748e-01,0.000000000000000000e+00
1.100000000000000006e-01,4.035418851986955630e-03,6.814714596131334068e-02,3.089546821268348772e-02,-6.396746905255888682e-02,4.517711329925806485e-01,0.000000000000000000e+00
1.150000000000000050e-01,4.382132436140127874e-03,7.052869191981822605e-02,3.057123041620895057e-02,-6.571377315197239610e-02,4.421101321246862503e-01,0.000000000000000000e+00
1.199999999999999956e-01,4.740610334238427002e-03,7.285297564527716541e-02,3.023846749112507268e-02,-6.737786773651648076e-02,4.325278930789579479e-01,0.000000000000000000e+00
1.250000000000000000e-01,5.110567796040809546e-03,7.512062136320776795e-02,2.989758531139765849e-02,-6.896181531390092878e-02,4.230251262248512778e-01,0.000000000000000000e+00
1.300000000000000044e-01,5.491723190162446991e-03,7.733225236908122802e-02,2.954897954185499095e-02,-7.046763715722315080e-02,4.136025005185627879e-01,0.000000000000000000e+00
1.350000000000000089e-01,5.883797999104823685e-03,7.948849090100663928e-02,2.919303584248570879e-02,-7.189731405270137488e-02,4.042606444687090739e-01,0.000000000000000000e+00
1.400000000000000133e-01,6.286516813657489280e-03,8.158995801569918216e-02,2.883013006903290334e-02,-7.325278703350164566e-02,3.950001470866995601e-01,0.000000000000000000e+00
1.449999999999999900e-01,6.699607326687769503e-03,8.363727346768830284e-02,2.846062846995325163e-02,-7.453595809994086052e-02,3.858215588220261782e-01,0.000000000000000000e+00
1.499999999999999944e-01,7.122800326334525686e-03,8.563105559172343173e-02,2.808488787980861073e-02,-7.574869092634547996e-02,3.767253924826697853e-01,0.000000000000000000e+00
1.549999999999999989e-01,7.555829688621854001e-03,8.757192118833539984e-02,2.770325590915611105e-02,-7.689281155484227470e-02,3.677121241408137786e-01,0.000000000000000000e+00
1.600000000000000033e-01,7.998432369508392398e-03,8.946048541251264141e-02,2.731607113100138415e-02,-7.797010907635384958e-02,3.587821940240416563e-01,0.000000000000000000e+00
